[2021/09/14 10:52:47] [log.py] ERROR :计算多个数之和有异常:
unsupported operand type(s) for +=: 'int' and 'str'
[2021/09/14 10:52:47] [log.py] INFO :计算多个数之和=3
[2021/09/14 10:52:47] [log.py] INFO :计算多个数之和=6
[2021/09/14 10:53:05] [log.py] INFO :计算多个数之和=6
[2021/09/14 10:53:05] [log.py] INFO :计算多个数之和=3
[2021/09/14 10:53:05] [log.py] INFO :计算多个数之和=6
[2021/09/14 10:53:13] [log.py] INFO :计算多个数之和=6
[2021/09/14 10:53:13] [log.py] INFO :计算多个数之和=3
[2021/09/14 10:53:13] [log.py] INFO :计算多个数之和=6
[2021/09/14 10:53:18] [log.py] INFO :计算多个数之和=6
[2021/09/14 10:53:18] [log.py] INFO :计算多个数之和=3
[2021/09/14 10:53:18] [log.py] INFO :计算多个数之和=6
[2021/09/14 14:39:10] [log.py] INFO :计算多个数之和=6
[2021/09/14 14:39:10] [log.py] INFO :计算多个数之和=3
[2021/09/14 14:39:10] [log.py] INFO :计算多个数之和=6
